State,Latitude,Longitude,POPESTIMATE2019
AL,32.6010112,-86.6807365,4903185
AK,61.3025006,-158.7750198,731545
AZ,34.1682185,-111.930907,7278717
AR,34.7519275,-92.1313784,3017804
CA,37.2718745,-119.2704153,39512223
CO,38.9979339,-105.550567,5758736
CT,41.5187835,-72.757507,3565287
DE,39.145251,-75.4189206,973764
DC,38.8993487,-77.0145666,705749
FL,27.9757279,-83.8330166,21477737
GA,32.6781248,-83.2229757,10617423
HI,20.46,-157.505,1415872
ID,45.4945756,-114.1424303,1787065
IL,39.739318,-89.504139,12671821
IN,39.7662195,-86.441277,6732219
IA,41.9383166,-93.389798,3155070
KS,38.4987789,-98.3200779,2913314
KY,37.8222935,-85.7682399,4467673
LA,30.9733766,-91.4299097,4648794
ME,45.2185133,-69.0148656,1344212
MD,38.8063524,-77.2684162,6045680
MA,42.0629398,-71.718067,6892503
MI,44.9435598,-86.4158049,9986857
MN,46.4418595,-93.3655146,5639632
MS,32.5851062,-89.8772196,2976149
MO,38.3046615,-92.437099,6137428
MT,46.6797995,-110.044783,1068778
NE,41.5008195,-99.680902,1934408
NV,38.502032,-117.0230604,3080156
NH,44.0012306,-71.5799231,1359711
NJ,40.1430058,-74.7311156,8882190
NM,34.1662325,-106.0260685,2096829
NY,40.7056258,-73.97968,19453561
NC,35.2145629,-79.8912675,10488084
ND,47.4678819,-100.3022655,762062
OH,40.1903624,-82.6692525,11689100
OK,35.3097654,-98.7165585,3956971
OR,44.1419049,-120.5380993,4217737
PA,40.9945928,-77.6046984,12801989
RI,41.5827282,-71.5064508,1059361
SC,33.62505,-80.9470381,5148714
SD,44.2126995,-100.2471641,884659
TN,35.830521,-85.9785989,6829174
TX,31.1693363,-100.0768425,28995881
UT,39.4997605,-111.547028,3205958
VT,43.8717545,-72.4477828,623989
VA,38.0033855,-79.4587861,8535519
WA,47.1,-121.1,7614893
WV,38.9201705,-80.1816905,1792147
WI,44.7862968,-89.8267049,5822434
WY,43.000325,-107.5545669,578759
